id,language,reference,generated,generated_rci
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'","""Validates that the provided 'datatype' is supported, then returns true if the 'value' conforms to the specified 'datatype' using its associated validation function.""","""Validates that the provided 'datatype' is supported, then returns true if the 'value' conforms to the specified 'datatype' using its associated validation function."""
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness","""Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.""","""Checks if a given value or list of values are valid signed or unsigned integers within a specified bit range."""
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","""Retrieves a tuple containing the datatype name, a callable, and a list of subtypes from a predefined list of datatypes if the provided 'datatype' string matches a datatype name, otherwise returns None.""","""Searches a predefined list of datatypes and returns a tuple containing the datatype name, a callable, and a list of subtypes if a matching datatype name is found, otherwise returns None."""
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"""Identifies and returns a dictionary of namespaced datatypes from a list of dynamic datatypes, where the keys are the datatype names and the values are the fully qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the dynamic datatypes.""","""Identifies and returns a dictionary of namespaced datatypes from a list of dynamic datatypes, where the keys are the datatype names and the values are the fully qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the dynamic datatypes, excluding those that exactly match the fqn."""
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","""Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling array types and mapping common types to their corresponding ApiGearBasicType values.""","""Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, mapping common types to their corresponding ApiGearBasicType values and handling array types by setting the 'is_array' flag."""
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","""Retrieves the Apigear datatype for a given datatype string, then creates an ApigearProperty object with that datatype and optionally sets its description from the VSS node data if available, returning None if the datatype is unsupported.""","""Retrieves the Apigear datatype for a given datatype string, creates an ApigearProperty object with that datatype and optionally sets its description from the VSS node data, returning None if the datatype is unsupported."""
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","""Loads and merges VSpec objects from a list of specification files, optionally including specified include directories, and returns a single combined VSpec object, raising an exception if no specifications are loaded.""","""Loads and merges VSpec objects from a list of specification files, optionally including specified include directories, and returns a single combined VSpec object, raising a SpecException if no specifications are loaded."""
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","""Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values.""","""Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values in place."""
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","""Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.""","""Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error."""
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","""Retrieves a VSSRaw object from a dictionary of data, optionally using a fully qualified name (fqn), attempts to resolve it, and returns the resolved object or the initialized object if resolution fails.""","""Retrieves a VSSRaw object from a dictionary of data, optionally using a fully qualified name (fqn), attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the initialized object if resolution fails."""
